[-0.01,-0.01]
[-0.02001,-0.02001]
[-0.030021,-0.030021]
[-0.0400331,-0.0400331]
[-0.0500465,-0.0500465]
[-0.0600611,-0.0600611]
[-0.0700772,-0.0700772]
[-0.080095,-0.080095]
[-0.0901145,-0.0901145]
[-0.100136,-0.100136]
[-0.11016,-0.11016]
[-0.120186,-0.120186]
[-0.130214,-0.130214]
[-0.140246,-0.140246]
[-0.15028,-0.15028]
[-0.160318,-0.160318]
[-0.17036,-0.17036]
[-0.180407,-0.180407]
[-0.190457,-0.190457]
[-0.200513,-0.200513]
[-0.210575,-0.210575]
[-0.220642,-0.220642]
[-0.230717,-0.230717]
[-0.240799,-0.240799]
[-0.250889,-0.250889]
[-0.260989,-0.260989]
[-0.271098,-0.271098]
[-0.281218,-0.281218]
[-0.291351,-0.291351]
[-0.301497,-0.301497]
[-0.311658,-0.311658]
[-0.321835,-0.321835]
[-0.332031,-0.332031]
[-0.342246,-0.342246]
[-0.352483,-0.352483]
[-0.362745,-0.362745]
[-0.373033,-0.373033]
[-0.383351,-0.383351]
[-0.393702,-0.393702]
[-0.404089,-0.404089]
[-0.414517,-0.414517]
[-0.424989,-0.424989]
[-0.43551,-0.43551]
[-0.446086,-0.446086]
[-0.456723,-0.456723]
[-0.467428,-0.467428]
[-0.478208,-0.478208]
[-0.489073,-0.489073]
[-0.500031,-0.500031]
[-0.511094,-0.511094]
[-0.522275,-0.522275]
[-0.533587,-0.533587]
[-0.545048,-0.545048]
[-0.556676,-0.556676]
[-0.568493,-0.568493]
[-0.580524,-0.580524]
[-0.592798,-0.592798]
[-0.605351,-0.605351]
[-0.618223,-0.618223]
[-0.631462,-0.631462]
[-0.645126,-0.645126]
[-0.659287,-0.659287]
[-0.67403,-0.67403]
[-0.689461,-0.689461]
[-0.705715,-0.705715]
[-0.722961,-0.722961]
[-0.741418,-0.741418]
[-0.761374,-0.761374]
[-0.783214,-0.783214]
[-0.807469,-0.807469]
[-0.834883,-0.814883]
[-0.866533,-0.820738]
[-0.904029,-0.835825]
[-0.949859,-0.840242]
[-1.00803,-0.834884]
[-1.0853,-0.828689]
[-1.19357,-0.81081]
[-1.35506,-0.775796]
[-1.36506,-0.765796]
[-1.37891,-0.741945]
[-1.40001,-0.695606]
[-1.41001,-0.685606]
[-1.41509,-0.670522]
[-1.42009,-0.670522]
[-1.41759,-0.670522]
[-1.41884,-0.669272]
[-1.41884,-0.669585]
[-1.41884,-0.669428]
[-1.41884,-0.669428]
