[-0.01,-0.01]
[-0.0335,-0.0335]
[-0.079635,-0.079635]
[-0.166723,-0.166723]
[-0.33006,-0.33006]
[-0.637676,-0.637676]
[-1.22216,-0.647699]
[-1.47348,-0.647699]
[-1.4185,-0.647699]
[-1.4185,-0.671751]
[-1.4185,-0.669121]
[-1.41908,-0.669121]
[-1.41908,-0.669372]
[-1.41886,-0.669372]
[-1.41886,-0.669469]
[-1.41886,-0.669427]
[-1.4189,-0.669427]
[-1.41886,-0.669427]
[-1.41889,-0.669427]
[-1.41887,-0.669427]
[-1.41889,-0.669405]
[-1.41889,-0.669424]
[-1.41887,-0.669424]
[-1.41888,-0.669417]
[-1.41888,-0.669417]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
[-1.41888,-0.669418]
